,UKR,USA,CHN
1960,,,
1961,,2.29999999999968,-27.2700000039461
1962,,6.10000000000012,-5.579999990136
1963,,4.39999999999992,10.2999999952758
1964,,5.8000000000003,18.179999994202
1965,,6.39999999999976,16.950000002496
1966,,6.50000000000028,10.6500000041736
1967,,2.50000000000003,-5.77000000422508
1968,,4.79999999999959,-4.09999999214142
1969,,3.09999999999999,16.9399999961093
1970,,-0.346648733838819,19.299999996256
1971,,3.29335165324265,7.06000000335179
1972,,5.2589073310028,3.80999999825444
1973,,5.64572257104872,7.7600000016445
1974,,-0.54055166261962,2.31000000049113
1975,,-0.205456064255458,8.72000000047512
1976,,5.38813929310284,-1.57000000275067
1977,,4.62415306432004,7.56999999917166
1978,,5.53530495989784,11.3259779901995
1979,,3.16614531077464,7.5913246800003
1980,,-0.256749676940515,7.83414501593799
1981,,2.53771929783902,5.11276109058912
1982,,-1.80288740691098,9.01711391382203
1983,,4.58391336401664,10.7702025065715
1984,,7.23663315778187,15.1915400236134
1985,,4.16965621486705,13.4306775204064
1986,,3.46264597689752,8.94996176438008
1987,,3.45925198493917,11.6574277931357
1988,2.56646327002071,4.17706128382223,11.222594982521
1989,3.87310321070653,3.67264815928338,4.20633435547815
1990,-6.34523512849134,1.88596495768836,3.92025136776569
1991,-8.70000000000017,-0.108264786843066,9.26278608406234
1992,-9.89999999999996,3.52244052251753,14.2245295931824
1993,-14.1999999999999,2.75178104210936,13.8837293021031
1994,-22.9,4.02879326333235,13.0368066319673
1995,-12.1999999999998,2.68421727485742,10.9539543428699
1996,-10.0000000000003,3.7725655016348,9.92255675231162
1997,-2.99999999999979,4.38177517389286,9.23677989162672
1998,-1.90000000000002,4.48140756104172,7.84595178761953
1999,-0.199999999999861,4.75323598286796,7.66165150053656
2000,5.89999999999992,4.12748401690885,8.49009340575191
2001,8.79999999999961,0.998340791805987,8.3357334781433
2002,5.33964721202827,1.74169525130476,9.13363078993316
2003,9.51660986255986,2.8612107683238,10.038030481108
2004,11.795352526545,3.79889112471299,10.1136213780461
2005,3.07123039402157,3.5132137994521,11.3945918097286
2006,7.57142076203993,2.85497229363445,12.7209556651735
2007,8.21584445097341,1.87617145415626,14.2308609330803
2008,2.2434915977239,-0.136579803249504,9.65067891955702
2009,-15.1364679118992,-2.53675706714202,9.39872563237978
2010,4.0920043672827,2.5637665603995,10.6358710646812
2011,5.44528081314668,1.55083550470843,9.55083217886229
2012,0.152314965112083,2.24954585238848,7.86373644866194
2013,0.045439093794883,1.84208107064158,7.766150097539
2014,-10.0788949842281,2.52597344637341,7.42576365645755
2015,-9.77298721103519,3.0755146497898,7.04132887865481
2016,2.4409819445784,1.71142677366849,6.84876220503246
2017,2.35997228099491,2.33267939548638,6.94720079327288
2018,3.4883623420827,2.99646435222829,6.74977383247717
2019,3.19950386231294,2.16117651518969,5.94971423273162
2020,-4.00000610071135,-3.40459157333871,2.3475135727457
